Round,Label,meanA,OD,GSH,Protein (ug/mL) ,Protein (mg/ul),CS activity (nmol/(mg*min)),ploidy,trt,date of sample
1,X45,0.204333333,0.021333333,1.758,874.6666667,0.000874667,0.893292683,T,T-control,3/22/22
1,X46,0.360666667,0.131,12.286,717.1666667,0.000717167,7.613912774,T,T-control,3/22/22
1,X47,0.383333333,0.010666667,0.734,1687.833333,0.001687833,0.193278694,T,T-control,3/22/22
1,X48,0.306666667,0.002333333,-0.066,1321.5,0.0013215,-0.022196998,T,T-control,3/22/22
2,R59,0.078666667,0.123,3.943,1116.944444,0.001116944,7.06033325,T,T-desiccation,7/11/22
2,R61,0.096333333,0.111333333,3.464666667,1432.5,0.0014325,4.837230948,T,T-desiccation,7/11/22
2,T59,0.08,0.100333333,3.013666667,1123.888889,0.001123889,5.362926347,T,T-control,7/11/22
2,D56,0.078333333,0.109,3.369,1065.277778,0.001065278,3.162555411,D,D-control,7/11/22
2,D58,0.072666667,0.111666667,3.478333333,648.0555556,0.000648056,5.367338191,D,D-control,7/11/22
2,M47,0.084666667,0.106,3.246,1127.5,0.0011275,2.878935698,D,D-heat,7/11/22
2,N41,0.069416667,0.09275,2.70275,935.2777778,0.000935278,2.88978319,D,D-heat,7/11/22
2,N45,0.072333333,0.108,3.328,728.6111111,0.000728611,4.567594358,D,D-heat,7/11/22
2,N46,0.049666667,0.067,1.647,448.0555556,0.000448056,3.675883447,D,D-heat,7/11/22
2,N49,0.080666667,0.115,3.615,898.3333333,0.000898333,4.024118738,D,D-desiccation,7/11/22
2,R50,0.092666667,0.106,3.246,1067.5,0.0010675,3.040749415,T,T-heat,7/11/22
2,R57,0.17,0.113333333,3.546666667,1393.888889,0.001393889,2.544440016,T,T-desiccation,7/11/22
2,T61,0.131,0.137666667,4.544333333,1545.555556,0.001545556,2.940258807,T,T-control,7/11/22
3,D55,0.0935,0.169,4.453,1092,0.001092,1.31543188,D,D-control,7/12/22
3,D59,0.084,0.121,2.677,1019.4,0.0010194,0.847114368,D,D-control,7/12/22
3,M41,0.131,0.203333333,5.723333333,1508.4,0.0015084,1.22397014,D,D-heat,7/12/22
3,M47,0.079,0.122,2.714,591.9,0.0005919,1.479107739,D,D-heat,7/12/22
3,M89,0.078666667,0.070666667,0.814666667,1288.2,0.0012882,0.20400225,D,D-control,7/12/22
3,N44,0.106333333,0.125333333,2.837333333,1100.7,0.0011007,0.831533403,D,D-heat,7/12/22
3,N57,0.0895,0.207,5.859,905.4,0.0009054,2.087475149,D,D-desiccation,7/12/22
