"","Label","meanA","OD","GSH","weights","protein_content","standardization","Protein (mg/ul)","CS activity (nmol/(mg*min))","ploidy","trt"
"1","M45",0.333,0.0883333333333333,11.4316666666667,20.4,784.977777777778,0.0582857142857143,0.0134677559912854,0.33952699095718,"D","D-control"
"2","N48",0.287333333333333,0.102666666666667,12.6213333333333,14.7,279.733333333333,0.042,0.00666031746031745,0.758001906577694,"D","D-desiccation"
"3","N50",0.360666666666667,0.117666666666667,13.8663333333333,20.7,459.555555555556,0.0591428571428571,0.00777026301663983,0.713815390991987,"D","D-desiccation"
"4","N51",0.249666666666667,0.0776666666666667,10.5463333333333,21.2,353.933333333333,0.0605714285714286,0.00584323899371069,0.721951188009579,"D","D-desiccation"
"5","N52",0.328,0.122333333333333,14.2536666666667,20,563.777777777778,0.0571428571428571,0.00986611111111111,0.577883889858663,"D","D-desiccation"
"6","N53",0.389666666666667,0.151,16.633,22.3,856.533333333333,0.0637142857142857,0.0134433482810164,0.494906466820851,"D","D-desiccation"
"7","N54",0.34,0.115,13.645,16.8,870.533333333334,0.048,0.0181361111111111,0.300946546178588,"D","D-desiccation"
"8","N55",0.329,0.0873333333333333,11.3486666666667,26.1,826.044444444444,0.0745714285714286,0.0110772243507876,0.409801817035864,"D","D-desiccation"
"9","N56",0.318,0.125666666666667,14.5303333333333,10,130.4,0.0285714285714286,0.004564,1.27347356120362,"D","D-desiccation"
"10","N57",0.299333333333333,0.132666666666667,15.1113333333333,7.5,56.0444444444443,0.0214285714285714,0.0026154074074074,2.31112495751672,"D","D-desiccation"
"11","N58",0.304,0.117666666666667,13.8663333333333,14.8,457.377777777778,0.0422857142857143,0.0108163663663664,0.512790815830754,"D","D-desiccation"
"12","R51",0.426,0.0926666666666667,11.7913333333333,9.5,-123.777777777778,0.0271428571428571,-0.00456023391812866,-1.03427442934086,"T","T-desiccation"
"13","R52",0.259666666666667,0.106666666666667,12.9533333333333,14,561.6,0.04,0.01404,0.369040835707503,"T","T-desiccation"
"14","R53",0.38,0.182666666666667,19.2613333333333,4.5,56.6666666666665,0.0128571428571429,0.0044074074074074,1.74808739495799,"T","T-desiccation"
"15","R54",0.302666666666667,0.117333333333333,13.8386666666667,9.2,67.8666666666668,0.0262857142857143,0.00258188405797102,2.14396407521751,"T","T-desiccation"
"16","R56",0.298666666666667,0.0733333333333334,10.1866666666667,9.1,416,0.026,0.016,0.254666666666667,"T","T-desiccation"
"17","R57",0.55,0.141,15.803,19.3,728.355555555556,0.0551428571428571,0.013208520437536,0.478569876913421,"T","T-desiccation"
"18","R59",0.262,0.120666666666667,14.1153333333333,11.9,-158.622222222222,0.034,-0.00466535947712418,-1.21022471280471,"T","T-desiccation"
"19","X46",0.360666666666667,0.154333333333333,16.9096666666667,10.4,433.733333333334,0.0297142857142857,0.0145967948717949,0.463380264371349,"T","T-control"
