A0A060WQA3	XM_011455784.3	4.79e-06
A0A060WQA3	XM_011455785.3	4.65e-06
A0A061ACU2	XM_034483499.1	0.0
A0A061ACU2	XM_034483499.1	1.40e-12
A0A061ACU2	XM_034483499.1	2.13e-27
A0A061ACU2	XM_034483500.1	0.0
A0A061ACU2	XM_034483500.1	1.40e-12
A0A061ACU2	XM_034483500.1	2.44e-27
A0A061ACU2	XM_034483501.1	0.0
A0A061ACU2	XM_034483501.1	1.40e-12
A0A061ACU2	XM_034483501.1	2.04e-27
A0A061ACU2	XM_034483502.1	0.0
A0A061ACU2	XM_034483502.1	1.40e-12
A0A061ACU2	XM_034483502.1	2.18e-27
A0A061ACU2	XM_034483503.1	0.0
A0A061ACU2	XM_034483503.1	1.40e-12
A0A061ACU2	XM_034483503.1	2.31e-27
A0A061ACU2	XM_034483504.1	0.0
A0A061ACU2	XM_034483504.1	1.40e-12
A0A061ACU2	XM_034483504.1	6.62e-28
A0A061ACU2	XM_034483505.1	0.0
A0A061ACU2	XM_034483505.1	2.01e-27
A0A061ACU2	XM_034483506.1	0.0
A0A061ACU2	XM_034483506.1	1.40e-12
A0A061ACU2	XM_034483506.1	2.39e-27
A0A061ACU2	XM_034483507.1	0.0
A0A061ACU2	XM_034483507.1	1.40e-12
A0A061ACU2	XM_034483507.1	1.41e-27
A0A061ACU2	XM_034483508.1	0.0
A0A061ACU2	XM_034483508.1	1.39e-12
A0A061ACU2	XM_034483509.1	0.0
A0A061ACU2	XM_034483509.1	1.39e-12
A0A061ACU2	XM_034483510.1	0.0
A0A061ACU2	XM_034483510.1	1.39e-12
A0A061ACU2	XM_034483511.1	0.0
A0A061ACU2	XM_034483511.1	1.39e-12
A0A061ACU2	XM_034483512.1	0.0
A0A061ACU2	XM_034483512.1	1.39e-12
A0A061ACU2	XM_034483514.1	0.0
A0A061ACU2	XM_034483514.1	1.39e-12
A0A061ACU2	XM_034483515.1	0.0
A0A061ACU2	XM_034483515.1	1.38e-12
A0A061ACU2	XM_034483515.1	1.46e-24
A0A061ACU2	XM_034483516.1	0.0
A0A061ACU2	XM_034483516.1	1.38e-12
A0A061ACU2	XM_034483517.1	0.0
A0A061ACU2	XM_034483517.1	1.38e-12
A0A0A7DNP6	XM_001305294.1	8.75e-10
A0A0B5A7M7	XM_001308866.2	3.97e-12
A0A0B5A7M7	XM_034475035.1	1.48e-12
A0A0B5A8P8	XM_011417422.3	4.54e-15
A0A0B7P9G0	XM_011446195.3	2.07e-144
A0A0F7YYX3	XM_011419035.3	2.09e-19
A0A0F7YYX3	XM_011419037.3	2.71e-19
A0A0F7YYX3	XM_011419038.3	2.28e-19
A0A0F7YYX3	XM_011419039.3	2.39e-19
A0A0F7YYX3	XM_020064360.2	1.79e-19
A0A0F7YZI5	XM_011442798.3	8.33e-33
A0A0F7Z3J2	XM_011442799.3	1.69e-34
A0A0G2JUG7	XM_034452076.1	2.28e-143
A0A0G2JUG7	XM_034452076.1	3.45e-17
A0A0G2JUG7	XM_034452083.1	1.94e-142
A0A0G2JUG7	XM_034452083.1	4.22e-17
A0A0G2K047	XM_034482325.1	0.0
A0A0G2K047	XM_034482329.1	0.0
A0A0G2K047	XM_034482337.1	0.0
A0A0G2K344	XM_034482735.1	0.0
A0A0G2K344	XM_034482736.1	0.0
A0A0G2K344	XM_034482737.1	0.0
A0A0G2K344	XM_034482738.1	0.0
A0A0G2L7I0	XM_011448446.2	3.22e-90
A0A0G2L7I0	XM_034467985.1	3.95e-90
A0A0G2L7I0	XM_034467986.1	2.81e-89
A0A0G2L7I0	XM_034467987.1	2.19e-90
A0A0H3HIJ5	XM_034452606.1	1.27e-30
A0A0H3HIJ5	XM_034452606.1	1.29e-30
A0A0H3HIJ5	XM_034452606.1	2.11e-28
A0A0H3HIJ5	XM_034452606.1	2.81e-17
A0A0H3HIJ5	XM_034452606.1	2.90e-22
A0A0H3HIJ5	XM_034452606.1	6.94e-14
A0A0H3HIJ5	XM_034452606.1	7.22e-31
A0A0K3AUJ9	XM_034457850.1	9.21e-106
A0A0K3AUJ9	XM_034457851.1	6.01e-107
